pattern_id,current,historical_1,historical_2
previousresearch_1_1,100,960,0
previousresearch_1_2,200,1957,0
previousresearch_1_3,100,1978,0
previousresearch_1_4,200,1981,0
previousresearch_1_5,100,960,0
previousresearch_1_6,100,980,0
